Abbreviation	Explanation
A	Adjectivization of verbs via suffix -a / Relative particple (Asher & Kumari)
ABL	Ablative case / Locative case + postposition ninn˘
ACC	Accusative case (e.g. pūccaye)
ALL	Allative case / Locative case + postposition ēkk˘
COP	The copula āṇ˘
DAT	Dative case (e.g. pūccakk˘)
DES	Desiderative (Moag) / Debitive (Asher & Kumari) mood (e.g. ceyyaṇaṁ)
FUT	Future tense
GEN	Genitive case (e.g. pūccayuṭe)
GER	Gerund, Infinitive of Purpose (Moag) / Purposive Infinitive, Infinitive 2 (Asher & Kumari) (e.g. ceyyān)
HAB	Habitual / Future tense (e.g. ceyyuṁ)
HOR	Hortative (e.g. ceyyāṁ)
IMP	Polite imperative (e.g. ceyyū)
INF	Infinitive / Verbal noun (e.g. ceyyuka)
INS	Instrumental case (e.g. pūccayāl)
INT	Intentive (e.g. ceyyāṁ)
LOC	Locative case (e.g. vīṭṭil)
Nn, Nm, Nf, Nhum	Nominalization (for neuter, male, female or human nouns) (e.g. ceyyat˘)
NEG	Negation
NOM	Nominative case (e.g. pūcca)
PAM	Polite assertive marker (e.g. ceyyunnallō)
PASS	Passive voice (e.g. ceyyappeṭunnu)
PERM	Permissive (Moag) / Optative (Asher & Kumari) (e.g. ceyyaṭṭe)
PL	Plural number (e.g. pūccakaḷ)
POT	Potential mood (e.g. ceyyāṁ)
PRS	Present tense (e.g. ceyyunnu)
PST	Past tense (e.g. ceytu)
PSTPART	Past participle (e.g. ceyt˘)
QPRT	Question particle ō
QUOT	Quotative particle enn˘
SOC	Sociative / Addressive case (e.g. pūccayōṭ˘)
STAT	Stative perfect (Moag) / Perfect 2 (Asher & Kumari) (e.g. ceytiṭṭuṇṭ˘)
