.	.	.
,	,	,
?	?	?
!	!	!
ee	ee	EMPH
oo	oo	QPRT
illa	illa	NEG
puujya;m	puujya;m	0
a_ranuu_r_rimuppattiyonn'	a_ra|nuu_r_ri|mu|ppatti|yonn'	+6|*100|+3|*10|+1
ampattonn'	am|patt|onn'	+5|*10|+1
to.n.nuu_r_ronn'	to.n.nuu_r_r|onn'	+9&*10|+1
a~n~nuu_r_rmuppattiyonn'	a~n|~nuu_r_r|mu|ppatti|yonn'	+5|*100|+3|*10|+1
naanuu_r_re.npattonn'	naa|nuu_r_r|e.n|patt|onn'	+4|*100|+8|*10|+1
e_lunuu_r_rirupattiyonn'	e_lu|nuu_r_r|iru|patti|yonn'	+7|*100|+2|*10|+1
a_ranuu_r_re.npattiyonn'	a_ra|nuu_r_r|e.n|patti|yonn'	+6|*100|+8|*10|+1
munnuu_r_re_lupattiyonn'	mun|nuu_r_r|e_lu|patti|yonn'	+3|*100|+7|*10|+1
a~n~nuu_r_riyonn'	a~n|~nuu_r_ri|yonn'	+5|*100|+1
nuu_r_riye.npattonn'	nuu_r_ri|ye.n|patt|onn'	+1&*100|+8|*10|+1
a~n~nuu_r_rinaalpattonn'	a~n|~nuu_r_ri|naal|patt|onn'	+5|*100|+4|*10|+1
e_lunuu_r_riyanpattiyonn'	e_lu|nuu_r_ri|yan|patti|yonn'	+7|*100|+5|*10|+1
muppattiyonn'	mu|ppatti|yonn'	+3|*10|+1
munnuu_r_rimuppattiyonn'	mun|nuu_r_ri|mu|ppatti|yonn'	+3|*100|+3|*10|+1
a~n~nuu_r_rmuppattonn'	a~n|~nuu_r_r|mu|ppatt|onn'	+5|*100|+3|*10|+1
e_lunuu_r_riyampattiyonn'	e_lu|nuu_r_ri|yam|patti|yonn'	+7|*100|+5|*10|+1
a~n~nuu_r_rnaappattiyonn'	a~n|~nuu_r_r|naa|ppatti|yonn'	+5|*100|+4|*10|+1
nuu_r_rto.n.nuu_r_riyonn'	nuu_r_r|to.n.nuu_r_ri|yonn'	+1&*100|+9&*10|+1
munnuu_r_riyirupattiyonn'	mun|nuu_r_ri|yiru|patti|yonn'	+3|*100|+2|*10|+1
naanuu_r_rto.n.nuu_r_riyonn'	naa|nuu_r_r|to.n.nuu_r_ri|yonn'	+4|*100|+9&*10|+1
e_lunuu_r_rinaappattonn'	e_lu|nuu_r_ri|naa|ppatt|onn'	+7|*100|+4|*10|+1
e.n.nuu_r_re_lupattonn'	e.n|.nuu_r_r|e_lu|patt|onn'	+8|*100|+7|*10|+1
munnuu_r_ra_rupattiyonn'	mun|nuu_r_r|a_ru|patti|yonn'	+3|*100|+6|*10|+1
e_lunuu_r_rirupattonn'	e_lu|nuu_r_r|iru|patt|onn'	+7|*100|+2|*10|+1
munnuu_r_ranpattonn'	mun|nuu_r_r|an|patt|onn'	+3|*100|+5|*10|+1
nuu_r_riyanpattonn'	nuu_r_ri|yan|patt|onn'	+1&*100|+5|*10|+1
a_ranuu_r_riyampattiyonn'	a_ra|nuu_r_ri|yam|patti|yonn'	+6|*100|+5|*10|+1
naanuu_r_rinaalpattiyonn'	naa|nuu_r_ri|naal|patti|yonn'	+4|*100|+4|*10|+1
